country,province,city,updatedAt,stats,coordinates
US,Kansas,Allen,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.88582951', 'longitude': '-95.30030847'}"
US,Kentucky,Allen,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.75197631', 'longitude': '-86.19457544'}"
US,Louisiana,Allen,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '30.65385745', 'longitude': '-92.82442028'}"
US,Ohio,Allen,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '40.77285242', 'longitude': '-84.10802343'}"
US,South Carolina,Allendale,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '32.98837386', 'longitude': '-81.35321066'}"
US,Michigan,Alpena,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '45.03477666', 'longitude': '-83.62212411'}"
US,California,Alpine,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.59678594', 'longitude': '-119.82235940000001'}"
US,California,Amador,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.44583082', 'longitude': '-120.65696000000001'}"
US,Virginia,Amelia,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.34081025', 'longitude': '-77.98584649'}"
US,Virginia,Amherst,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.60308293', 'longitude': '-79.14548696'}"
US,Mississippi,Amite,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.17467303', 'longitude': '-90.80501621'}"
US,Alaska,Anchorage,2020-03-23 23:19:34,"{'confirmed': '13', 'deaths': '0', 'recovered': '0'}","{'latitude': '61.14998174', 'longitude': '-149.14269860000005'}"
